Title: Daily newspaper endorsements in the 2016 United States presidential election

URL Source: https://en.wikipedia.org/wiki/Daily_newspaper_endorsements_in_the_2016_United_States_presidential_election

Published Time: 2019-01-17T22:18:15Z

Markdown Content:
From Wikipedia, the free encyclopedia

Various notable daily newspapers made endorsements of candidates in the 2016 United States presidential election, as follows. The table below indicates which candidate each publication endorsed in the 2012 United States presidential election and includes only endorsements for the general election.

### Summary of daily newspapers

[edit]

| Candidate | Endorsements | Breakdown by 2012 endorsement |
| --- | --- | --- |
| Hillary Clinton | 244 | 100 Barack Obama; 47 Mitt Romney; 19 no endorsement; 1 split endorsement; 76 undetermined |
| No endorsement | 65 | 38 Mitt Romney; 2 Barack Obama; 2 no endorsement; 11 undetermined |
| Donald Trump | 20 | 14 Mitt Romney; 6 undetermined |
| Gary Johnson | 9 | 2 Barack Obama; 5 Mitt Romney; 2 undetermined |
| Not Donald Trump | 8 | 2 Mitt Romney; 1 Barack Obama; 4 no endorsement; 1 undetermined |
| Split endorsement | 2 | 2 split endorsement |
| Evan McMullin | 1 | 1 undetermined |
| Not Hillary Clinton | 1 | 1 undetermined |

### Endorsements by daily newspapers

[edit]

| Newspaper | 2016 endorsement | Largest reported circulation | Endorsement date | City | State | 2012 endorsement | Notes |
| _The Register-Herald_[214] | Hillary Clinton | 17,754[16] | October 9 | Beckley | West Virginia |  |  |
| _The Huntsville Item_[215] | Hillary Clinton | 4,288[16] | October 9 | Huntsville | Texas |  | [aw] |
| _News and Tribune_[216] | Hillary Clinton | 6,052[217] | October 9 | Jeffersonville | Indiana |  | [ax] |
| _Greensburg Daily News_[219] | Hillary Clinton | 3,592[16] | October 9 | Greensburg | Indiana |  | [ay] |
| _The Daily Item_[220] | Hillary Clinton | 20,639[16] | October 9 | Sunbury | Pennsylvania | Barack Obama[221] |  |
| _The Norman Transcript_[222] | Hillary Clinton | 9,249[16] | October 9 | Norman | Oklahoma |  |  |
| _Times West Virginian_[223] | Hillary Clinton | 7,987[16] | October 9 | Fairmont | West Virginia |  |  |
| _Naples Daily News_[224] | No endorsement | 45,831[16] | October 9 | Naples | Florida | Mitt Romney[69] |  |
| _Tribune-Star_[225] | Hillary Clinton | 18,502[16] | October 10 | Terre Haute | Indiana |  |  |
| _The Joplin Globe_[226] | Hillary Clinton | 22,684[16] | October 10 | Joplin | Missouri | Mitt Romney[227] |  |
| _The Record_[228] | Hillary Clinton | 175,452[205] | October 10 | Hackensack | New Jersey | Barack Obama[69] |  |
| _Bristol Herald Courier_[229] | No endorsement | 26,166[23] | October 10 | Bristol | Virginia |  | [az] |
| _The Times Record_[230] | Hillary Clinton | 9,600[231] | October 10 | Brunswick | Maine |  |  |
| _Santa Cruz Sentinel_[232] | Hillary Clinton | 24,000[233] | October 11 | Scotts Valley | California | Barack Obama[234] |  |
| _The Goshen News_[235] | Hillary Clinton | 8,440[16] | October 11 | Goshen | Indiana |  | [ba] |
| _York Daily Record_[236] | Not Donald Trump | 71,315[48] | October 11 | York | Pennsylvania | Barack Obama[221] | [bb] |
| _The Bernardsville News_[237] | Hillary Clinton | 4,891[238] | October 11 | Bernardsville | New Jersey | Barack Obama[239] |  |
| _Telegraph Herald_[240] | Not Donald Trump | 34,015[241] | October 11 | Dubuque | Iowa | No endorsement[240] | [bc] |
| _Mineral Wells Index_[242] | Hillary Clinton | 2,370[16] | October 12 | Mineral Wells | Texas |  | [bd] |
| _Ada Evening News_[243] | Hillary Clinton | 7,871[244] | October 12 | Ada | Oklahoma |  |  |
| _The Salt Lake Tribune_[245] | Hillary Clinton | 148,079[16] | October 12 | Salt Lake City | Utah | Barack Obama[246] |  |
| _The Burlington Free Press_[247] | Hillary Clinton | 25,848[48] | October 12 | Burlington | Vermont | Barack Obama[248] |  |
| _Traverse City Record-Eagle_[249] | Hillary Clinton | 23,406[16] | October 12 | Traverse City | Michigan |  |  |
| _Courier-Post_[250] | Hillary Clinton | 43,096[48] | October 12 | Cherry Hill | New Jersey |  | [be] |
| _The Daily Journal_[251] | Hillary Clinton | 9,983[48] | October 12 | Vineland | New Jersey |  | [be] |
| _Tahlequah Daily Press_[252] | Hillary Clinton | 3,189[16] | October 12 | Tahlequah | Oklahoma |  | [ai] |
| _Glasgow Daily Times_[253] | Hillary Clinton | 6,268[16] | October 12 | Glasgow | Kentucky |  | [bf] |
| _The San Francisco Examiner_[254] | Hillary Clinton | 254,237[255] | October 13 | San Francisco | California | Barack Obama[69] |  |
| _The Washington Post_[256] | Hillary Clinton | 573,348[16] | October 13 | Washington | District of Columbia | Barack Obama[257] | [bg] |
| _Daily Review Atlas_[259] | No endorsement | 1,419[16] | October 13 | Monmouth | Illinois | No endorsement[259] |  |
| _Idaho Statesman_[260] | Hillary Clinton | 53,784[16] | October 13 | Boise | Idaho | No endorsement[261] | [bh] |
| _The Meridian Star_[262] | Hillary Clinton | 9,750[16] | October 13 | Meridian | Mississippi |  |  |
| _Charleston Gazette-Mail_[263][264] | Hillary Clinton | 54,832[16] | October 14 | Charleston | West Virginia | Split endorsement[158][265] | [bi] |
| Evan McMullin | November 5 |
| _The Jersey Journal_[266] | Hillary Clinton | 13,687[16] | October 14 | Secaucus | New Jersey | Barack Obama[267] | [bj] |
| _News-Press_[268] | Hillary Clinton | 5,876[16] | October 14 | Stillwater | Oklahoma |  |  |
| _Miami Herald_[269] | Hillary Clinton | 165,695[16] | October 14 | Miami | Florida | Barack Obama[270] |  |
| _Democrat and Chronicle_[271] | Hillary Clinton | 131,456[48] | October 14 | Rochester | New York | Barack Obama[272] |  |
| _The Daily Astorian_[273] | Hillary Clinton | 6,307[274] | October 14 | Astoria | Oregon | Barack Obama[275] |  |
| _The Kansas City Star_[276] | Hillary Clinton | 226,869[16] | October 14 | Kansas City | Missouri | Barack Obama[277] |  |
| _Orlando Sentinel_[278] | Hillary Clinton | 221,613[279] | October 14 | Orlando | Florida | Mitt Romney[280] |  |
| _The Oregonian_[281] | No endorsement | 209,944[16] | October 14 | Portland | Oregon | No endorsement[69] | [bk] |
| _Duncan Banner_[282] | Hillary Clinton | 7,875[244] | October 14 | Duncan | Oklahoma |  |  |
| _Lexington Herald-Leader_[283] | Hillary Clinton | 87,769[16] | October 14 | Lexington | Kentucky | Barack Obama[284] |  |
| _The Express-Star_[285] | Hillary Clinton | 4,670[244] | October 14 | Chickasha | Oklahoma |  | [bl] |
| _The York Dispatch_[286] | Hillary Clinton | 37,000[287] | October 14 | York | Pennsylvania |  |  |
| _El Nuevo Herald_[288] | Hillary Clinton | 59,617[289] | October 14 | Miami | Florida |  | [bm] |
| _The Times-Picayune_[291] | Hillary Clinton | 116,161[16] | October 15 | New Orleans | Louisiana | No endorsement[69] |  |
| _Mt. Vernon Register-News_[292] | Hillary Clinton | 5,499[16] | October 15 | Mt. Vernon | Illinois |  |  |
| _The Providence Journal_[293] | Hillary Clinton | 94,822[16] | October 15 | Providence | Rhode Island | Barack Obama[294] |  |
| _The Des Moines Register_[295] | Hillary Clinton | 174,208[48] | October 15 | Des Moines | Iowa | Mitt Romney[296] |  |
| _Reporter-Herald_[297] | Hillary Clinton | 16,892[16] | October 15 | Loveland | Colorado | Mitt Romney[69] | [bn] |
| _Peoria Journal Star_[298] | Hillary Clinton | 57,165[16] | October 15 | Peoria | Illinois | Mitt Romney[69] |  |
| _Omaha World-Herald_[299] | Hillary Clinton | 141,530[16] | October 15 | Omaha | Nebraska | Mitt Romney[300] | [bo] |
| _Roswell Daily Record_[301] | No endorsement | 10,013[16] | October 15 | Roswell | New Mexico |  | [bp] |
| _The Santa Fe New Mexican_[302] | Hillary Clinton | 18,337[16] | October 15 | Santa Fe | New Mexico | Barack Obama[303] |  |
| _The Herald Bulletin_[304] | Hillary Clinton | 16,930[16] | October 15 | Anderson | Indiana | Barack Obama[305] |  |
| _Midland Daily News_[306] | Hillary Clinton | 11,764[16] | October 15 | Midland | Michigan | Mitt Romney[307] |  |
| _Longmont Times-Call_[308] | Hillary Clinton | 12,905[16] | October 15 | Longmont | Colorado | Mitt Romney[309] | [bq] |
| _The Modesto Bee_[310] | Hillary Clinton | 59,555[16] | October 15 | Modesto | California | No endorsement[69] |  |
| _Adirondack Daily Enterprise_[311] | Hillary Clinton | 3,600[312] | October 15 | Saranac Lake | New York |  |  |
| _Concord Monitor_[313] | Hillary Clinton | 22,747[314] | October 16 | Concord | New Hampshire | Barack Obama[69] | [br] |
