Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| October 20, 2016 | 57929 | Ensign-Bickford Aerospace & Defense Company | Page |
| October 20, 2016 | 59507, 59779 | Creative Times Dayschool, Inc. | McIlmail |
| October 19, 2016 | 59917 | Contrack International, Inc. | O'Connell |
| October 18, 2016 | 60142 | John C. Grimberg Co., Inc. | Prouty |
| October 17, 2016 | 60646 | FastVDO LLC | Stempler |
| October 13, 2016 | 59983 | Quality Trust Inc. | Prouty |
| October 12, 2016 | 57576, 57679, 58290, 60137 | Raytheon Company | Stempler |
| October 12, 2016 | 59710 | Transdev Services, Inc. | Stempler |
| October 12, 2016 | 60739 | Military Aircraft Parts | Wilson |
| October 11, 2016 | 58742 | DCX-CHOL Enterprises, Inc. | Hartman |
| October 7, 2016 | 60710-910 | Volmar Construction, Inc. | Stempler |
| October 6, 2016 | 60664 | Munilla Construction Management, LLC | Stempler |
| October 6, 2016 | 59987, 60104, 60105 | Colonna's Shipyard, Inc. | D'Alessandris |
| October 4, 2016 | 60758 | Gilbane Federal | Clarke |
| October 4, 2016 | 59739, 59910 | Lebolo-Watts Constructors 01 JV, LLC | Page |
| September |  |  |  |
| September 28, 2016 | 57784, 57987 | CANVS Corporation | Peacock |
| September 28, 2016 | 58866 | Avant Assessment, LLC | McIlmail |
| September 27, 2016 | 59824 | Zuhmat Group Construction | Prouty |
| September 27, 2016 | 60216 | Polu Kai Services, L.L.C. | Hartman |
| September 26, 2016 | 59786 | Meco Builders, Inc. | Newsom |
| September 23, 2016 | 60110 | Omnivox LLC d/b/a True North Consulting | Ting |
| September 23, 2016 | 59172 | Sauer, Inc. | Stempler |
| September 23, 2016 | 60685 | Name Redacted | Stempler |
| September 22, 2016 | 60429 | Pratt & Whitney, a division of United Technologies Corp. | Stempler |
| September 22, 2016 | 60349 | Aerojet Rocketdyne, Inc. | Stempler |
| September 22, 2016 | 59963 | Besix S.A. | Prouty |
| September 22, 2016 | 58986, 59713 | Avant Assessment, LLC | McIlmail |
| September 21, 2016 | 60740 | Bulldozer Gulf General Trading & Contracting Co. W.L.L. | Stempler |
| September 21, 2016 | 60572 | Electronic Warfare and Associates-Government Systems | Stempler |
| September 21, 2016 | 60148 | Professional Analytical and Consulting Services, Inc. | Stempler |
| September 21, 2016 | 59836, 59837, 59838, 59839, 59840, 59841, 59842, 60006, 60007 | JE Dunn Construction Company | Page |
| September 21, 2016 | 58135 | Precision Standard, Inc. | O'Sullivan |
| September 20, 2016 | 60533 | HCS, Inc. | Hartman |
| September 20, 2016 | 58673 | Ft. McCoy Shipping & Services | Younger |
| September 15, 2016 | 60251 | GSC Systems, Inc. | Shackleford |
| September 13, 2016 | 59794 | Alaska Aerospace Corporation | Melnick |
| September 12, 2016 | 60368 | Potomac Construction Company, Inc. | Stempler |
| September 9, 2016 | 60730-971 | Rizzani de Eccher (USA), Inc. | Stempler |
| September 9, 2016 | 59456 | Austal USA, LLC | Melnick |
| September 9, 2016 | 59932, 59933, 59934, 59935 | KBAJ Enterprises, LLC t/d/b/a Home Again | Melnick |
| September 8, 2016 | 60158 | Dynatech International Corp. | Stempler |
| September 8, 2016 | 59983 | Quality Trust Inc. | Prouty |
| September 7, 2016 | 60503 | Amaratek | D'Alessandris |
| September 6, 2016 | 59952 | Optimum Services, Inc. | Ting |
| September 1, 2016 | 60540 | Kirlin Builders, LLC | Stempler |
| August |  |  |  |
| August 30, 2016 | 60738 | MCC Construction Corporation | Stempler |
| August 29, 2016 | 60194 | Raytheon Company | Stempler |
| August 29, 2016 | 60575, 60576 | Odyssey International, Inc. | Stempler |
| August 29, 2016 | 60655 | DCX-CHOL Enterprises, Inc. | Stempler |
| August 29, 2016 | 59357, 59358 | Kellogg Brown & Root Services, Inc. | Delman |
| August 29, 2016 | 60131 | Exelis, Inc. | D'Alessandris |
| August 25, 2016 | 58881, 59215 | Lakeshore Engineering Services, Inc. | Younger |
| August 25, 2016 | 58954, 59069, 59070, 59071 | Lakeshore Toltest JV, LLC | Younger |
| August 25, 2016 | 60026 | CDM/Filane JV | Peacock |
| August 25, 2016 | 59249 | Lakeshore Engineering Services, Inc. | Younger |
| August 24, 2016 | 60674 | Name Redacted | Stempler |
| August 23, 2016 | 60106 | Leo A. Daly Company | Younger |
| August 23, 2016 | 59714, 59715, 59716, 59773, 59775, 59976 | Watts-Granite, A Joint Venture | McIlmail |
| August 19, 2016 | 60675 | Passaran Noori Construction Company | Stempler |
| August 19, 2016 | 60504, 60505 | Webb-Rite Safety, Inc. | Stempler |
| August 18, 2016 | 60377 | Alaska Native Technologies, LLC | Stempler |
| August 18, 2016 | 60303 | Alaska Native Technologies, LLC | Stempler |
| August 18, 2016 | 60197 | Alaska Native Technologies, LLC | Stempler |
| August 17, 2016 | 60506 | Shear Pleasure Barber & Beauty Salons, Inc. | Prouty |
| August 17, 2016 | 60534 | Grant Thornton LLP | Stempler |
| August 17, 2016 | 59817 | Suzan Company | D'Alessandris |
| August 17, 2016 | 60702 | Name Redacted | Stempler |
| August 16, 2016 | 60370 | TMG Services, Inc. | Stempler |
| August 12, 2016 | 60133 | Straub Construction, Inc. | Stempler |
| August 12, 2016 | 60307 | Luisvidal Meza | Clarke |
| August 11, 2016 | 60530 | Ceres Caribe, Inc. | Stempler |
| August 9, 2016 | 58822, 59972, 59973 | Spectrum-Insight, Joint Venture | Peacock |
| August 9, 2016 | 60520 | United Space Alliance, LLC | Stempler |
| August 9, 2016 | 59195 | Lakeshore Engineering Services, Inc. | Stempler |
| August 9, 2016 | 59141 | Lakeshore Engineering Services, Inc. | Stempler |
| August 9, 2016 | 59267 | Lakeshore Toltest JV, LLC | Younger |
| August 9, 2016 | 58068 | Raytheon Company, Space & Airborne Systems | O'Connell |
| August 8, 2016 | 58880 | Lakeshore Engineering Services, Inc. | Hartman |
| August 4, 2016 | 60553 | Arab Shah Construction Company | Ting |
| August 4, 2016 | 60632-968 | General Logistic Group, Ltd. | Stempler |
| August 3, 2016 | 60263 | Qwest Government Services, Inc. d/b/a CenturyLink QGS | Prouty |
| August 2, 2016 | 58754 | DRC, Inc. | Page |
| August 2, 2016 | 60304 | Military Aircraft Parts | Paul |
| August 2, 2016 | 60336 | Military Aircraft Parts | McIlmail |
| August 2, 2016 | 60437, 60501 | Name Redacted | McIlmail |
| August 1, 2016 | 59565, 59566, 59567, 59568, 59569, 59570, 59571, 59572, 59573, 59574, 59575, 59576 | Lakeshore Toltest Corporation | Stempler |
| August 1, 2016 | 59641 | Lakeshore Toltest Corporation | Stempler |
| August 1, 2016 | 60312 | Nova Group/Tutor-Saliba, a Joint Venture | Woodrow |
| July |  |  |  |
| July 28, 2016 | 60500 | Rolands & Associates Corporation | Stempler |
| July 28, 2016 | 60653-969 | Eastern Construction & Electric, Inc. | Stempler |
| July 28, 2016 | 59944 | American Systems Corporation | Prouty |
| July 28, 2016 | 59771 | IAP World Services, Inc. | O'Sullivan |
| July 27, 2016 | 60436 | Monica Walker | Prouty |
| July 27, 2016 | 60384 | Molly Jessie Company | Stempler |
| July 27, 2016 | 60019 | Bank of America, N.A. Military Bank-Overseas Division | Stempler |
| July 27, 2016 | 59911, 59912 | MicroTechnologies, LLC | Melnick |
| July 26, 2016 | 60355 | Clark McCarthy Healthcare Partners II | Stempler |
| July 26, 2016 | 57057 | King Aerospace, Inc. | McIlmail |
| July 25, 2016 | 60208, 60209 | Assessment & Training Solutions Consulting Corp. | Woodrow |
| July 25, 2016 | 60047 | Advanced Testing Technologies, Inc. | Prouty |
| July 25, 2016 | 59491, 60433 | BAE Systems Tactical Vehicle Systems LP | O'Sullivan |
| July 25, 2016 | 57530, 58161 | Kellogg Brown & Root Services, Inc. | Melnick |
| July 21, 2016 | 58789 | Tech Projects, LLC | Younger |
| July 18, 2016 | 60171 | CACI International, Inc. & CACI Technologies, Inc. | Prouty |
| July 14, 2016 | 58373 | American Systems Corporation | Prouty |
| July 14, 2016 | 58992 | Alion Science and Technology Corporation | Woodrow |
| July 14, 2016 | 59176, 59177 | American Systems Corporation | Prouty |
| July 14, 2016 | 59413 | BAE Systems Land & Armaments L.P. | Stempler |
| July 14, 2016 | 59945, 60226 | American Systems Corporation | Stempler |
| July 14, 2016 | 59946 | American Systems Corporation | Stempler |
| July 14, 2016 | 60084 | American Systems Corporation | Prouty |
| July 14, 2016 | 60173 | Panjshir Kandahur Construction Co. | D'Alessandris |
| July 14, 2016 | 60275 | American Systems Corporation | Stempler |
| July 14, 2016 | 60280 | Sigtem Technology, Inc. | Stempler |
| July 14, 2016 | 60320 | American Systems Corporation | Stempler |
| July 13, 2016 | 60217 | URS Federal Services, Inc. | Stempler |
| July 13, 2016 | 60382 | General Atomics | Stempler |
| July 13, 2016 | 60401 | Contract Fabrication & Design International | Stempler |
| July 13, 2016 | 60492 | Ventions, LLC | Stempler |
| July 13, 2016 | 60562 | Dependable American Hospital Services | Stempler |
| July 13, 2016 | 60578 | Name Redacted | Stempler |
| July 12, 2016 | 58828 | Puget Sound Envirionment Corp. | O'Connell |
| July 12, 2016 | 58867 | Avant Assessment, LLC | McIlmail |
| July 12, 2016 | 59046, 59957 | GSC Construction, Inc. | McIlmail |
| July 12, 2016 | 59402, 59601 | GSC Construction, Inc. | McIlmail |
| July 12, 2016 | 60146 | Northrop Grumman Corporation | Stempler |
| July 12, 2016 | 60198 | Northrop Grumman Corporation | Stempler |
| July 12, 2016 | 60327, 60328 | Potomac Construction Company, Inc. | Stempler |
| July 11, 2016 | 59747, 59988 | Safi Apparel Corporation | Woodrow |
| July 8, 2016 | 58812, 58813 | Target Construction, Inc. | O'Connell |
| July 7, 2016 | 60257 | Sage Systems Technologies, LLC | McIlmail |
| July 7, 2016 | 59753 | NuGate Group, LLC | Peacock |
| July 7, 2016 | 59556 | Northrop Grumman Corporation | Peacock |
| June |  |  |  |
| June 29, 2016 | 60516 | Siemens Government Technologies, Inc. | Stempler |
| June 29, 2016 | 60314 | ABB Enterprise Software, Inc., f/k/a Ventyx | Prouty |
| June 29, 2016 | 59983 | Quality Trust Inc. | Prouty |
| June 29, 2016 | 59819 | Black Tiger Company | Page |
| June 29, 2016 | 56850, 57542, 57661 | United Launch Services, LLC | Wilson |
| June 27, 2016 | 60490 | Military Aircraft Parts | Paul |
| June 23, 2016 | 59829, 59907 | Edward Hayes, as Liquidator of Base Operation Services GmbH | Woodrow |
| June 23, 2016 | 60063, 60064 | Marvin Company | McIlmail |
| June 23, 2016 | 60180, 60181, 60182 | The Boeing Company | Stempler |
| June 23, 2016 | 60351, 60352 | The Boeing Company | Stempler |
| June 23, 2016 | 60570 | Darden Petroleum & Energy Solutions | Stempler |
| June 22, 2016 | 60549 | EHW Constructors, a Joint Venture | Stempler |
| June 22, 2016 | 60535 | Resource Metrix | Stempler |
| June 21, 2016 | 59644, 59956, 60069, 60070, 60112, 60113 | GSC Construction, Inc. | Delman |
| June 21, 2016 | 58779, 58844 | Maersk Line Limited, Inc. | Peacock |
| June 21, 2016 | 57884, 58666, 58958, 58959, 58982, 59038, 59164, 59165, 59391, 59392, 59393, 59418, 59419, 59420, 59481, 59615, 59618, 59619, 59636, 59653, 59675, 59676, 59681, 59682, 59683, 59811, 59830, 59863, 59867, 59872, 59879, 60017, 60024, 60250, 60309, 60365 | Supreme Foodservice GmbH | Scott |
| June 20, 2016 | 60367 | Government Services Corp. | O'Sullivan |
| June 16, 2016 | 58518, 59005 | Kellogg Brown & Root Services, Inc. | Page |
| June 16, 2016 | 59787 | B3 Enterprises, LLC | O'Connell |
| June 16, 2016 | 59583 | The Boeing Company | Stempler |
| June 16, 2016 | 59002, 59003, 59832 | New Jersey Commission for the Blind and Visually Impaired | Newsom |
| June 16, 2016 | 60556 | Golden Build Construction Co. | Stempler |
| June 16, 2016 | 60354 | Clark McCarthy Healthcare Partners II | Stempler |
| June 16, 2016 | 60135 | Merrill, Inc. | Newsom |
| June 16, 2016 | 59918 | Bushra Company | Prouty |
| June 15, 2016 | 60561 | York International Corporation - York Navy Systems | D'Alessandris |
| June 15, 2016 | 59900 | Access Personnel Services, Inc. | Delman |
| June 14, 2016 | 59046 | GSC Construction, Inc. | McIlmail |
| June 14, 2016 | 60477 | Future Services Company For Trading and General Transport W.L.L. | Stempler |
| June 14, 2016 | 60449 | Future Services Company For Trading and General Transport W.L.L. | Stempler |
| June 13, 2016 | 58810, 59642 | BAE Systems San Francisco Ship Repair | Ting |
| June 13, 2016 | 59791, 59792 | Maersk Line, Limited | Younger |
| June 9, 2016 | 59531 | Columbia State Bank (formerly Appeal of Castle-Rose, Inc.) | O'Sullivan |
| June 8, 2016 | 58135, 58205 | Precision Standard, Inc. | O'Sullivan |
| June 7, 2016 | 59402, 59601 | GSC Construction, Inc. | McIlmail |
| June 7, 2016 | 59414 | Rhodes Research | Paul |
| June 6, 2016 | 59948 | CI², Inc. | Delman |
| June 6, 2016 | 60248, 60249 | Haskell Corporation | Stempler |
| June 3, 2016 | 59387 | Parsons Corporation | Prouty |
| June 3, 2016 | 59860 | Essan Metallix Corporation | Stempler |
| June 3, 2016 | 60139 | Military Aircraft Parts | O'Sullivan |
| June 3, 2016 | 60420 | Al-Karam Al-Arabi Catering Services Ltd. | Stempler |
| June 2, 2016 | 58382 | Platinum Services, Inc. | Dickinson |
| June 2, 2016 | 58512 | KBJ, Inc. | Scott |
| June 2, 2016 | 59785 | KBJ, Inc. | Scott |
| June 2, 2016 | 60128 | Kratos Defense & Rocket Support Services, Inc. | Stempler |
| June 1, 2016 | 59821 | Mach 1 AREP Carlyle Center LLC | Prouty |
| May |  |  |  |
| May 31, 2016 | 60009 | Military Aircraft Parts | O'Sullivan |
| May 26, 2016 | 60301 | ProLogic Incorporated | Clarke |
| May 25, 2016 | 58811 | Target Construction, Inc. | O'Connell |
| May 25, 2016 | 59725 | Coherent Logix, Inc. | O'Sullivan |
| May 24, 2016 | 59906 | Tokyo Company | Prouty |
| May 19, 2016 | 60179 | Equine Architectural Products, Inc. | Stempler |
| May 19, 2016 | 59466, 59467, 59468, 59469, 59470 | Mansoor International Development Services | Melnick |
| May 18, 2016 | 59776 | GSC Construction, Inc. | McIlmail |
| May 18, 2016 | 59016 | Lean Construction and Engineering Co. | Paul |
| May 17, 2016 | 59824 | Zuhmat Group Construction | Prouty |
| May 17, 2016 | 59584 | The Boeing Company | Stempler |
| May 17, 2016 | 59544, 60141 | United Technologies Corporation | Stempler |
| May 17, 2016 | 58123 | United Healthcare Partners, Inc. | Page |
| May 16, 2016 | 59857 | Akira Technologies, Inc. | Paul |
| May 13, 2016 | 60030 | Whitesell-Green, Inc./W.G. Yates & Sons Construction Company, A Joint Venture | Stempler |
| May 13, 2016 | 59886, 59887, 59950 | Contrack International, Inc. | Stempler |
| May 12, 2016 | 59559 | Spectrum Healthcare Resources, Inc. | Hartman |
| May 12, 2016 | 59244 | DynCorp International LLC | O'Connell |
| May 12, 2016 | 58659 | Leviathan Corporation | O'Connell |
| May 11, 2016 | 60519 | Bryan Construction, Inc. | Stempler |
| May 11, 2016 | 60509 | Stobil Enterprises | Stempler |
| May 11, 2016 | 59943 | Rodney Hunt-Fontaine, Inc. | Stempler |
| May 11, 2016 | 58824 | BYA International, LLC | Page |
| May 10, 2016 | 60276 | EG&G Defense Materials, Inc. | Wilson |
| May 10, 2016 | 60089 | Speegle Construction, Inc. | Thrasher |
| May 5, 2016 | 60032 | SGT, Inc. | Stempler |
| May 5, 2016 | 60523-697 | Nexagen Networks, Inc. | Stempler |
| May 5, 2016 | 59402 | GSC Construction, Inc. | McIlmail |
| May 5, 2016 | 59604 | Contract Management, Inc. d.b.a. US Roads | Stempler |
| May 5, 2016 | 59983 | Quality Trust Inc. | Prouty |
| May 4, 2016 | 59457, 59712 | GM2 Associates, Inc. | O'Connell |
| May 2, 2016 | 60380 | Tunista Construction, LLC | Stempler |
| May 2, 2016 | 60120 | Mustafa Khamosh Group | Stempler |
| May 2, 2016 | 59020 | Public Warehousing Company, K.S.C. | Thrasher |
| April |  |  |  |
| April 25, 2016 | 60431, 60432 | L-3 Communications Integrated Systems, L.P. | McIlmail |
| April 25, 2016 | 60336 | Military Aircraft Parts | McIlmail |
| April 25, 2016 | 58028, 58794 | Lockheed Martin Services, Inc. | Clarke |
| April 25, 2016 | 60435 | Professional Management Consulting Services, Inc. | Clarke |
| April 22, 2016 | 60407, 60408 | L-3 Communications Integrated Systems, L.P. | Stempler |
| April 22, 2016 | 60184 | The Boeing Company | Stempler |
| April 22, 2016 | 60157 | Manson Construction Company | Stempler |
| April 22, 2016 | 59918 | Bushra Company | Prouty |
| April 22, 2016 | 59662 | Jaynes Corporation | Prouty |
| April 21, 2016 | 60200 | General Dynamics C4 Systems | Stempler |
| April 21, 2016 | 60103 | Safeco Insurance Company of America | Stempler |
| April 21, 2016 | 59911, 59912 | MicroTechnologies, LLC | Melnick |
| April 21, 2016 | 56474, 56475, 56477, 56729, 56756, 56918, 56919, 56920 | M.E.S., Inc. and Hirani Engineering & Land Surveying, P.C., d/b/a Hirani-MES, JV | Stempler |
| April 19, 2016 | 59757 | Jim Black Construction Company | Hartman |
| April 19, 2016 | 58222, 58282, 58283, 58367, 58370, 58581 | ACI-SCC JV | Hartman |
| April 18, 2016 | 59762 | Torion Technologies, Inc. | Prouty |
| April 15, 2016 | 59624 | Rex Systems Inc. | Prouty |
| April 14, 2016 | 59844, 59845, 59846, 59847, 59848, 59849, 59850 | Shneez Veritas LLC | Stempler |
| April 14, 2016 | 59262 | Watts Webcor Obayashi, a Joint Venture | Stempler |
| April 14, 2016 | 59580 | The Boeing Company | Stempler |
| April 14, 2016 | 60387 | Afghan Active Group (AAG) | Prouty |
| April 12, 2016 | 60274, 60417 | Vetco Contracting Services, LLC | Stempler |
| April 12, 2016 | 59285 | RockCrest Investments, LLC d.b.a NewTech | Newsom |
| April 6, 2016 | 59696 | Third Coast Fresh Distribution, L.L.C. | Melnick |
| April 6, 2016 | 58819 | 554 Bloomfield LLC | Stempler |
| April 6, 2016 | 59113 | Human Technologies Corp. | Stempler |
| April 6, 2016 | 60325 | Name Redacted | Stempler |
| April 4, 2016 | 58781 | THR Enterprises, Inc. | Scott |
| April 4, 2016 | 59789 | Kiewit Building Group, Inc. | Scott |
| April 4, 2016 | 58538 | Dellew Corporation | Page |
| April 1, 2016 | 60072, 60073, 60074, 60075, 60076, 60077 | Global Engineering & Construction, LLC | Delman |
| March |  |  |  |
| March 30, 2016 | 60177 | Dawson-Alamo1 JV, LLC | Stempler |
| March 30, 2016 | 58598, 58599 | AeroVironment, Inc. | Peacock |
| March 30, 2016 | 58243 | Highland Al Hujaz Co., Ltd. | Thrasher |
| March 29, 2016 | 60369 | Kevin Diaz | Stempler |
| March 29, 2016 | 60078 | Patriot Construction, Inc. | Stempler |
| March 29, 2016 | 57743, 57798, 58280 | Raytheon Company | Scott |
| March 25, 2016 | 60175 | Contrack Watts, Inc., f/k/a Contrak International, Inc. | Stempler |
| March 25, 2016 | 60164 | HK&S Construction Holding Corp. | McIlmail |
| March 24, 2016 | 59868 | Ahjar Shat Alarab Albidhaa Co. | Delman |
| March 24, 2016 | 59298, 60119 | DynPort Vaccine Company, LLC | Hartman |
| March 24, 2016 | 59081, 60043 | Joseph Sottolano | McIlmail |
| March 23, 2016 | 60333 | Gulf Group, Inc. | Hartman |
| March 23, 2016 | 60329 | Goodwill Easter Seals of Miami Valley | Thrasher |
| March 23, 2016 | 60295 | American Technical Services, Inc. | Stempler |
| March 23, 2016 | 60033 | Atlantic Wire & Rigging, Inc. | Hartman |
| March 22, 2016 | 58633 | Engineering Solutions & Products, LLC | Paul |
| March 22, 2016 | 58981 | River Ridge Development Authority | Clarke |
| March 21, 2016 | 59036, 59037 | Suodor Al-Khair Co - SAKCO for General Trading | Melnick |
| March 18, 2016 | 60225 | Excellims Corporation | Stempler |
| March 17, 2016 | 57884, 58666, 58958, 58959, 58982, 59038, 59164, 59165, 59391, 59392, 59393, 59418, 59419, 59420, 59481, 59615, 59618, 59619, 59636, 59653, 59675, 59676, 59681, 59682, 59683, 59811, 59830, 59863, 59867, 59872, 59879, 60017, 60024, 60250, 60309, 60365 | Supreme Foodservice, GmbH | Scott |
| March 17, 2016 | 59843 | Air Services, Inc. | Melnick |
| March 16, 2016 | 59990, 59993, 59995, 59997, 60151 | ECC-RMA, LLC | Peacock |
| March 16, 2016 | 60166 | INDUS Corporation | Stempler |
| March 16, 2016 | 60206 | Caddell/Whitesell-Green, A Joint Venture | Stempler |
| March 16, 2016 | 60313 | Signature Elevator Company, Inc. | Younger |
| March 15, 2016 | 60234 | Botach Tactical | Stempler |
| March 11, 2016 | 57693 | SIA Construction, Inc. | Wilson |
| March 11, 2016 | 59223 | EDO Communications & Countermeasures Systems Inc. | Peacock |
| March 11, 2016 | 60489 | Tepa EC, LLC | Peacock |
| March 11, 2016 | 60458 | Tepa EC, LLC | Peacock |
| March 9, 2016 | 57618, 58515 | ERKA Construction Co., Ltd. | O'Connell |
| March 9, 2016 | 59552 | Northrop Grumman Corporation | Stempler |
| March 9, 2016 | 60324 | RLM Communications, Inc. | Stempler |
| March 8, 2016 | 59305, 59306, 59307, 59308, 59309, 59310 | VLOX, LLC | McIlmail |
| March 7, 2016 | 59446 | Tessada & Associates, Inc. | Delman |
| March 7, 2016 | 59749 | Marshall's Electric, Inc. | Delman |
| March 7, 2016 | 59041 | Lee's Ford Dock, Inc. | Clarke |
| March 4, 2016 | 58789 | Tech Projects, LLC | Younger |
| March 4, 2016 | 60356 | Monroe Infrared Technology | Stempler |
| March 3, 2016 | 59064, 59332, 59334 | Dick Pacific Construction Company, Ltd. | Clarke |
| March 3, 2016 | 60004 | Omran Holding Group | Stempler |
| March 3, 2016 | 57675, 57806, 58149, 58150, 58151, 58174, 60474 | Dick Pacific Construction Company, Ltd. | Clarke |
| March 3, 2016 | 58512 | KBJ, Inc. | Scott |
| March 2, 2016 | 59882 | Suffolk Construction Company, Inc. | Stempler |
| March 2, 2016 | 60359-962, 60360-963, 60361-964, 60362-965, 60363-966 | Framaco-Epik-Metis, JV | Stempler |
| March 2, 2016 | 58945, 58946 | Combat Support Associates | McIlmail |
| March 1, 2016 | 59486 | George Hicks Construction, Inc. | Thrasher |
| March 1, 2016 | 60353 | MicroTechnologies, LLC | Paul |
| March 1, 2016 | 60116 | Defense Holdings, Inc. | Stempler |
| March 1, 2016 | 60390 | Northrop Grumman Corporation | Stempler |
| March 1, 2016 | 60083 | Sacred Power Corporation | Stempler |
| March 1, 2016 | 58432, 58441, 58442 | Clean by Lucy, Inc. | Thrasher |
| February |  |  |  |
| February 24, 2016 | 60405 | Kuryapi Insaat Taahhut Ve Ticaret Ltd St | Stempler |
| February 24, 2016 | 60404 | Kuryapi Insaat Taahhut Ve Ticaret Ltd St | Stempler |
| February 24, 2016 | 60290 | Military Aircraft Parts | O'Sullivan |
| February 23, 2016 | 59799, 59800 | CACI International, Inc. | Stempler |
| February 19, 2016 | 58001 | Symetrics Industries, LLC | Hartman |
| February 19, 2016 | 59735 | Rawaat Algaidaa Co. | Younger |
| February 18, 2016 | 59881 | Anwar Alsabah Company | O'Connell |
| February 18, 2016 | 60418 | Military Aircraft Parts | Paul |
| February 17, 2016 | 58346 | Lael Al Sahab & Co. | Melnick |
| February 17, 2016 | 58676 | SupplyCore, Inc. | Wilson |
| February 17, 2016 | 59108 | Laguna Construction Company, Inc. | Delman |
| February 17, 2016 | 59666 | SoCo-Piedmont, J.V., LLC | O'Sullivan |
| February 17, 2016 | 59673, 59674 | SOC LLC (dba SOC Nevada LLC) | Younger |
| February 16, 2016 | 59218 | The Boeing Company | Stempler |
| February 12, 2016 | 59981 | Ikhana LLC | O'Sullivan |
| February 11, 2016 | 59780 | The Boeing Company | Stempler |
| February 10, 2016 | 59047 | Blackhawk Ventures, LLC | Page |
| February 10, 2016 | 60207 | Aetna Government Health Plans | McIlmail |
| February 9, 2016 | 59026, 59284 | Scale Structure/ARCC Joint Venture | Page |
| February 9, 2016 | 59073, 59150 | ENCO Industries, Inc. | Clarke |
| February 9, 2016 | 59627 | Gas Turbine Engines, Inc. | Stempler |
| February 9, 2016 | 59659 | Northrop Grumman Aerospace Systems | Stempler |
| February 9, 2016 | 60025 | Shavers-Whittle Construction, LLC | McIlmail |
| February 9, 2016 | 60109 | Omnivox LLC | Stempler |
| February 8, 2016 | 57322 | ADT Construction Group, Inc. by Timothy S. Cory, Chapter 7 Trustee | Shackleford |
| February 8, 2016 | 55307 | ADT Construction Group, Inc. by Timothy S. Cory, Chapter 7 Trustee | Shackleford |
| February 8, 2016 | 58198 | Hanley Industries, Inc. | Melnick |
| February 8. 2016 | 59802, 59856, 60016, 60306 | Sulphur Springs Valley Electric Cooperative, Inc. | McIlmail |
| February 4, 2016 | 58749, 58836, 58837 | Technologists, Inc. | McIlmail |
| February 4, 2016 | 58574 | KBY International Construction Co. | Melnick |
| February 4, 2016 | 59665 | International Automotriz | Newsom |
| February 4, 2016 | 59296 | Rick Garcia Construction Company | Peacock |
| February 4, 2016 | 60290 | Military Aircraft Parts | O'Sullivan |
| February 3, 2016 | 58915 | The Boeing Company | Stempler |
| February 3, 2016 | 58916 | The Boeing Company | Stempler |
| February 3, 2016 | 58960, 58961 | Thorpe See-Op Corporation | McIlmail |
| February 3, 2016 | 59028 | M+W High Tech Projects Israel Ltd | Peacock |
| February 3, 2016 | 59862, 60008 | United States Technologies, Inc. | Stempler |
| February 3, 2016 | 60214 | S. Harman & Associates, Inc. | Prouty |
| February 3, 2016 | 58465 | Kellogg Brown & Root Services, Inc. | Shackleford |
| February 2, 2016 | 58063 | Delta Engineering, Inc. | Peacock |
| February 2, 2016 | 59134 | Fluor Enterprises, Inc. | Page |
| February 2, 2016 | 59390, 60127 | Utron, Inc. | Page |
| February 2, 2016 | 59793 | BAE Systems San Diego Ship Repair Inc. | Stempler |
| February 2, 2016 | 59859 | BAE Systems San Diego Ship Repair Inc. | Stempler |
| February 2, 2016 | 60318 | Name Redacted | Stempler |
| February 2, 2016 | 59951 | Task Source/MPSC FEPP, LLC | Prouty |
| January |  |  |  |
| January 28, 2016 | 59883, 60172 | Toro Ventures, LLC | O'Sullivan |
| January 28, 2016 | 59144, 59145, 59146, 59147, 59148, 59158, 59159, 59182, 59183, 59229, 59274, 59275, 59276, 59277, 59290 | Douglas P. Fleming, LLC | Clarke |
| January 27, 2016 | 57796, 57888 | Garco Construction, Inc. | Clarke |
| January 21, 2016 | 59693, 59694 | AeroVironment, Inc. | Peacock |
| January 21, 2016 | 58773, 58774 | Ball Aerospace & Technologies Corp. | Stempler |
| January 20, 2016 | 60326 | Potomac Construction Company, Inc. | Stempler |
| January 19, 2016 | 60038 | Goodloe Marine, Inc. | Stempler |
| January 19, 2016 | 59626 | RDA Contracting, Inc. | Peacock |
| January 19, 2016 | 59066, 59227, 59228, 60001 | Femme Comp, Inc. | Peacock |
| January 19, 2016 | 59045 | Andy Phillips | Thrasher |
| January 19, 2016 | 59044 | Al Nawars Company | O'Sullivan |
| January 19, 2016 | 59043 | Al Nawars Company | O'Sullivan |
| January 19, 2016 | 58583 | Kellogg Brown & Root Services, Inc. | O'Sullivan |
| January 19, 2016 | 58422 | The Life Eye Company | Younger |
| January 14, 2016 | 60193 | General Dynamics C4 Systems | Stempler |
| January 14, 2016 | 59526 | Enola Contracting Services, Inc. | McIlmail |
| January 13, 2016 | 60252 | Operations Support Technologies, Inc. | Stempler |
| January 13, 2016 | 59801 | Rand Enterprises, Inc. | Stempler |
| January 13, 2016 | 59333 | Clauss Construction | O'Sullivan |
| January 13, 2016 | 59496 | Lewis Limited Consultants, LLC | Stempler |
