Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| May 12, 2025 | 63561 | Gideon Contracting, LLC | Melnick |
| May 8, 2025 | 63665 | Walsh Turner Joint Venture II | Osterhout |
| May 7, 2025 | 63201 | Talion Construction, LLC | Arnett |
| May 7, 2025 | 64065 | Frank O'Connor Inc. | Witwer |
| May 6, 2025 | 61195, 61356, 63055, 63088 | AAI Corporation, d/b/a Textron Systems, Unmanned Systems | O'Connell |
| May 6, 2025 | 63833 | ManTech Advanced Systems International, Inc. | Melnick |
| May 6, 2025 | 64016 | Xerox Corporation | Thrasher |
| May 6, 2025 | 63408 | Chromalloy Component Services, Inc. | D'Alessandris |
| May 6, 2025 | 63478 | Faith Enterprises, Inc. | Thrasher |
| May 6, 2025 | 63520 | GSI Pacific, Inc. | O'Connell |
| May 2, 2025 | 62763, 62830, 62831, 62832, 62834, 62854, 62855, 62856, 62858, 62859, 62861, 62862, 62866, 62873, 62874, 62875, 62882, 62883, 62886, 62887, 62907, 62908, 62909, 62913, 62916, 62917, 62919, 62920, 62921, 62924, 62925, 63101, 63102, 63103, 63104, 63741 | Gilbane Federal | Stinson |
| May 1, 2025 | 62427 | Strategic Technology Institute, Inc. | Prouty |
| May 1, 2025 | 63982 | Teya Enterprises, LLC | Thrasher |
| April |  |  |  |
| April 28, 2025 | 64087, 64088, 64089, 64090, 64091, 64092, 64093, 64094 | EG Designbuild, LLC | Taylor |
| April 28, 2025 | 62075, 62780 | D-STAR Engineering Corp. | Herzfeld |
| April 25, 2025 | 63957 | US Pan American Solutions, LLC | Wilson |
| April 23, 2025 | 63197-ADR, 63416-ADR, 63417-ADR | Mindseeker, Inc. | McIlmail |
| April 22, 2025 | 63899 | AMES 1/CONAM JV, LLC | Thrasher |
| April 22, 2025 | 63864-ADR | APTIM Federal Services, LLC | Arnett |
| April 22, 2025 | 63785 | Red River Science & Technology, LLC | Page |
| April 21, 2025 | 63588, 63686 | Pinewood Inc. fka PNI Incorporation | Stinson |
| April 18, 2025 | 59586 | ECC International Constructors, LLC | McIlmail |
| April 17, 2025 | 64083, 64084 | Advanced Decision Vectors LLC | Thrasher |
| April 16, 2025 | 63972-ADR, 63997-ADR | Tridant Solutions, Inc. | Eyester |
| April 10, 2025 | 63900, 63901 | Stormwater Plans, LLC dba SWP Contracting & Paving | Wilson |
| April 9, 2025 | 63950 | Logistics and Rental Car SARL | Thrasher |
| April 8, 2025 | 64044 | GovPrime Solutions LLC | Thrasher |
| April 7, 2025 | 64020 | Xerox Corporation | Thrasher |
| April 4, 2025 | 62367 | Sheffield Barbers, LLC | Herzfeld |
| April 3, 2025 | 64056 | US Pan American Solutions, LLC | Thrasher |
| April 3, 2025 | 64022 | Frontline Support Solutions, LLC | Wilson |
| April 3, 2025 | 61220, 61347 | Skanska USA Civil Southeast, Inc. | Arnett |
| April 1, 2025 | 64041 | The Gilchrist Law Firm, P.A | McIlmail |
| March |  |  |  |
| March 27, 2025 | 63929 | USA All Sports | Thrasher |
| March 26, 2025 | 62269, 62270, 62425, 62426, 62680, 62974 | Parsons Government Services, Inc. | McLish |
