Title: 亞洲田徑紀錄列表

URL Source: https://zh.wikipedia.org/zh-cn/%E4%BA%9E%E6%B4%B2%E7%94%B0%E5%BE%91%E7%B4%80%E9%8C%84%E5%88%97%E8%A1%A8

Published Time: 2014-09-30T16:13:58Z

Markdown Content:
**亚洲田径纪录**是 亚洲田径总会 会员国运动员在各项目创下的最佳成绩。

**标示**： 等待承认 亚洲田径协会未纪录 亚洲田径协会不承认之纪录

ht = hand timing

+ = en route to a longer distance

A = affected by altitude

a = aided road course according to IAAF rule 260.28

# = not recognised by association

nw = no wind measurement

! = timing by photo-electric cell

刘翔 于奥林匹克运动会夺得金牌，曾于 110米跨栏 项目打破世界纪录，迄今仍为亚洲纪录保持者。

十项全能 纪录保持者 德米特里·卡尔波夫

| 项目 | 纪录 | 运动员 | 国籍 | 日期 | 赛事 | 地点 | 参考 |
| 10000米竞走（道路） | 38:01.49 | 高桥英辉 | 日本 | 2015年12月13日 | 6th Race Walking Meeting | 日本 谏早市 | [15] |
| 10公里竞走（公路） | 37:44 | 王镇 | 中国 | 2010年9月18日 | World Race Walking Challenge | 中国 北京市 | [16] |
| 15公里竞走（公路） | 57:15+ | 铃木雄介 | 日本 | 2015年3月15日 | Asian Race Walking Championships | 日本 能美市 | [14] |
| 20000米竞走（道路） | 1:18:03.3 | 卜令堂 | 中国 | 1994年4月4日 |  | 中国 北京市 |  |
| 20公里竞走（公路） | 1:16:36 | 铃木雄介 | 日本 | 2015年3月15日 | Asian Race Walking Championships | 日本 能美市 | [17] |
| 30000米竞走（道路） | 1:29:18.8 | 濑古利彦 | 日本 | 1981年3月22日 |  | 新西兰 基督城 |  |
| 50000米竞走（道路） | 3:48:13.7 | 赵永胜 | 中国 | 1994年5月7日 |  | 挪威 Fana, Norway |  |
| 50公里竞走（公路） | 3:36:06 | 虞朝鸿 | 中国 | 2005年10月22日 | 中国全国运动会 | 中国 南京市 |  |
| 4×100米接力 | 37.43 | 小池祐贵 白石黄良良 桐生祥秀 萨尼布朗 | 日本 | 2019年10月6日 | 世界田径锦标赛 | 卡塔尔 卡达杜哈 | [18] |
| 4×200米接力 | 1:22.66 | Reanchai Seerhawong Vissanu Sophanich Ekkachai Janthana Sittichai Suwonprateep | 泰国 | 2000年4月29日 | Penn Relays | 美国 美国 费城 | [19] |
| 1:22.12 # | 早稻田大学 桥元晃志 竹下裕希 爱敬彰太郎 三原浩幸 | 日本 | 2014年9月14日 |  | 日本 横滨市 |  |
| 4×400米接力 | 2:59.51 | 穆罕默德·阿纳斯 Noah Nirmal TOM 阿罗基亚·拉吉夫 阿莫杰·雅各布 | 日本 | 2021年8月6日 | Olympic Games | 日本 东京 |  |
