Title: 19th Asian Games | Results  | World Athletics

URL Source: https://worldathletics.org/competition/calendar-results/results/7147637

Markdown Content:
Men's 100 Metres
----------------

**Round 1 - Heat 1**, Wind: -0.2

| Place | Name | Birth Date |  | Mark |
| 5. | Kwan Yi LEUNG | 16 SEP 2000 | HKG | 12.01 |
| 6. | Zaidatul Husniah ZULKIFLI | 20 AUG 1993 | MAS | 12.11 |
| 7. | Mariyam Ru Ya ALI | 16 JUN 2005 | MDV | 12.43 |
| 8. | Sang LIDA | 03 JUN 2003 | CAM | 12.64 |

Women's 400 Metres
------------------

**Round 1 - Heat 1**

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Salwa Eid NASER | 23 MAY 1998 | BRN | 52.52 |
| 2. | Aishwarya Kailash MISHRA | 16 AUG 1997 | IND | 52.73 |
| 3. | Laylo ALLABERGANOVA | 05 FEB 1996 | UZB | 55.01 |
| 4. | Aishath Himna HASSAN | 07 JAN 2002 | MDV | 56.66 |
| 5. | Solongo BATBOLD | 26 APR 1996 | MGL | 56.75 |
| 6. | Levanita DA COSTA | 01 JUN 2001 | TLS | 65.16 |

**Round 1 - Heat 2**

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Kemi ADEKOYA | 16 JAN 1993 | BRN | 50.53 |
| 2. | Nadeesha RAMANAYAKE | 25 DEC 1994 | SRI | 52.67 |
| 3. | Thi Anh Thuc HOANG | 03 SEP 2005 | VIE | 55.00 |
| 4. | Alexandra ZALYUBOVSKAYA | 27 SEP 2002 | KAZ | 55.39 |
| 5. | Benny NONTANAM | 15 MAY 2001 | THA | 56.00 |
| 6. | Kristina PRONZHENKO | 10 DEC 1988 | TJK | 57.79 |

**Round 1 - Heat 3**

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Shereen VALLABOUY | 10 JUL 1998 | MAS | 52.89 |
| 2. | Hoang Thi MINH HANH | 12 SEP 1999 | VIE | 53.49 |
| 3. | Asra SAHIBE | 19 JUL 1997 | PAK | 55.18 |
| 4. | Himanshi MALIK | 22 APR 2002 | IND | 57.82 |
| 5. | Munkhtumen OTGONPUREV | 17 DEC 1997 | MGL | 58.19 |
| 6. | Ziva Moosa SHAFEEU | 10 JUN 2007 | MDV | 59.36 |

Women's 10,000 Metres
---------------------

**Final**

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Violah JEPCHUMBA | 23 OCT 1990 | BRN | 31:43.73 |
| 2. | Ririka HIRONAKA | 24 NOV 2000 | JPN | 31:50.74 |
| 3. | Caroline Chepkoech KIPKIRUI | 26 MAY 1994 | KAZ | 33:15.83 |
| 4. | Yaxuan LI | 11 JAN 2006 | CHN | 33:42.25 |
| 5. | Mariya KOROBITSKAYA | 10 MAY 1990 | KGZ | 35:03.83 |
| 6. | Shantoshi SHRESTHA | 01 AUG 1993 | NEP | 38:40.15 |
| 7. | Farhat BANO | 01 APR 1996 | PAK | 44:32.40 |
|  | Bontu Edao REBITU | 12 DEC 1997 | BRN | DNF |

Women's Shot Put
----------------

**Final**

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Lijiao GONG | 24 JAN 1989 | CHN | 19.58 |
| 2. | Jiayuan SONG | 15 SEP 1997 | CHN | 18.92 |
| 3. | Kiran BALIYAN | 06 MAR 1999 | IND | 17.36 |
| 4. | Chen-Hsin CHIEN | 09 JUN 2000 | TPE | 16.61 |
| 5. | Manpreet KAUR | 06 JUL 1990 | IND | 16.25 |
| 6. | Soojung LEE | 15 FEB 1993 | KOR | 16.21 |
| 7. | Yusun JEONG | 19 DEC 1997 | KOR | 16.00 |
| 8. | Areerat INTADID | 10 MAR 1996 | THA | 15.50 |
| 9. | Noora Salem JASIM | 27 NOV 1996 | BRN | 15.13 |
| 10. | Eki Febri EKAWATI | 18 FEB 1992 | INA | 15.10 |
| 11. | Tzu-En WU | 29 JUL 2001 | TPE | 14.80 |

Women's Hammer Throw
--------------------

**Final**

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Zheng WANG | 14 DEC 1987 | CHN | 71.53 |
| 2. | Jie ZHAO | 13 OCT 2002 | CHN | 69.44 |
| 3. | Taehui KIM | 07 SEP 2005 | KOR | 64.14 |
| 4. | Ya-Chien YU | 20 APR 1999 | TPE | 63.21 |
| 5. | Zarina NOSIRJONOVA | 23 MAR 2002 | UZB | 61.72 |
| 6. | Joy MCARTHUR | 05 JUL 1999 | JPN | 61.01 |
| 7. | Tanya CHAUDHARY | 21 SEP 2003 | IND | 60.50 |
| 8. | Mingkamon KOOMPHON | 04 JAN 1998 | THA | 60.30 |
| 9. | Xiu Mei GRACE WONG | 18 JAN 2000 | MAS | 57.46 |
| 10. | Seojin PARK | 26 MAR 1993 | KOR | 55.54 |
| - | K.M. RACHNA | 01 MAR 1993 | IND | DQ |

Women's 20 Kilometres Race Walk
-------------------------------

**Final**

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Jiayu YANG | 18 FEB 1996 | CHN | 1:30:03 |
| 2. | Zhenxia MA | 01 AUG 1998 | CHN | 1:30:04 |
| 3. | Nanako FUJII | 07 MAY 1999 | JPN | 1:33:49 |
| 4. | Yukiko UMENO | 08 JAN 2003 | JPN | 1:39:44 |
| 5. | PRIYANKA | 10 MAR 1996 | IND | 1:43:07 |
| 6. | Siu Nga CHING | 11 FEB 1987 | HKG | 1:43:27 |
| 7. | Galina YAKUSHEVA | 14 JUL 1988 | KAZ | 1:46:23 |
| 8. | Violine Intan PUSPITA | 22 SEP 2000 | INA | 1:53:14 |
